question_id,question,ground_truth_answer,question_type,difficulty,evaluation_focus,is_answerable,expected_case_id,expected_source_file,expected_chunk_type,expected_answer_keywords,ideal_response_behavior,notes
Q001,What surgery type is recorded in case Cholecystectomy_2025-10-01_12-34-00?,The surgery type for case Cholecystectomy_2025-10-01_12-34-00 is Cholecystectomy.,direct_fact,easy,metadata_retrieval,True,Cholecystectomy_2025-10-01_12-34-00,Cholecystectomy_2025-10-01_12-34-00.json,case_summary,Cholecystectomy,Answer from retrieved context only.,
Q002,What surgery type is recorded in case Myomectomy_2025-10-02_14-51-00?,The surgery type for case Myomectomy_2025-10-02_14-51-00 is Myomectomy.,direct_fact,easy,metadata_retrieval,True,Myomectomy_2025-10-02_14-51-00,Myomectomy_2025-10-02_14-51-00.json,case_summary,Myomectomy,Answer from retrieved context only.,
Q003,What surgery type is recorded in case Ovarian_Cystectomy_2025-10-03_10-12-00?,The surgery type for case Ovarian_Cystectomy_2025-10-03_10-12-00 is Ovarian Cystectomy.,direct_fact,easy,metadata_retrieval,True,Ovarian_Cystectomy_2025-10-03_10-12-00,Ovarian_Cystectomy_2025-10-03_10-12-00.json,case_summary,Ovarian Cystectomy,Answer from retrieved context only.,
Q004,What surgery type is recorded in case Partial_or_Total_Nephrectomy_2025-10-04_12-48-00?,The surgery type for case Partial_or_Total_Nephrectomy_2025-10-04_12-48-00 is Partial or Total Nephrectomy.,direct_fact,easy,metadata_retrieval,True,Partial_or_Total_Nephrectomy_2025-10-04_12-48-00,Partial_or_Total_Nephrectomy_2025-10-04_12-48-00.json,case_summary,Partial or Total Nephrectomy,Answer from retrieved context only.,
Q005,What surgery type is recorded in case Prostatectomy_2025-10-05_11-49-00?,The surgery type for case Prostatectomy_2025-10-05_11-49-00 is Prostatectomy.,direct_fact,easy,metadata_retrieval,True,Prostatectomy_2025-10-05_11-49-00,Prostatectomy_2025-10-05_11-49-00.json,case_summary,Prostatectomy,Answer from retrieved context only.,
Q006,Who was the surgeon for case Hernia_Repair_2025-10-06_16-03-00?,The surgeon for case Hernia_Repair_2025-10-06_16-03-00 was Dr.Rao.,direct_fact,easy,metadata_retrieval,True,Hernia_Repair_2025-10-06_16-03-00,Hernia_Repair_2025-10-06_16-03-00.json,case_summary,Dr.Rao,Answer from retrieved context only.,
Q007,Who was the surgeon for case Appendectomy_2025-10-07_13-28-00?,The surgeon for case Appendectomy_2025-10-07_13-28-00 was Dr.Mehta.,direct_fact,easy,metadata_retrieval,True,Appendectomy_2025-10-07_13-28-00,Appendectomy_2025-10-07_13-28-00.json,case_summary,Dr.Mehta,Answer from retrieved context only.,
Q008,Who was the surgeon for case Hysterectomy_2025-10-08_12-14-00?,The surgeon for case Hysterectomy_2025-10-08_12-14-00 was Dr.Meril M.,direct_fact,easy,metadata_retrieval,True,Hysterectomy_2025-10-08_12-14-00,Hysterectomy_2025-10-08_12-14-00.json,case_summary,Dr.Meril M,Answer from retrieved context only.,
Q009,Who was the surgeon for case Cholecystectomy_2025-10-09_11-48-00?,The surgeon for case Cholecystectomy_2025-10-09_11-48-00 was Dr.Mehta.,direct_fact,easy,metadata_retrieval,True,Cholecystectomy_2025-10-09_11-48-00,Cholecystectomy_2025-10-09_11-48-00.json,case_summary,Dr.Mehta,Answer from retrieved context only.,
Q010,Who was the surgeon for case Myomectomy_2025-10-10_14-49-00?,The surgeon for case Myomectomy_2025-10-10_14-49-00 was Dr.MERAI.,direct_fact,easy,metadata_retrieval,True,Myomectomy_2025-10-10_14-49-00,Myomectomy_2025-10-10_14-49-00.json,case_summary,Dr.MERAI,Answer from retrieved context only.,
